goal_reached,convo_length,average_search_time,number_jumps,number_redundant
True,8,0.06 ms,0,0
True,12,0.06 ms,0,0
True,5,0.04 ms,0,0
True,8,0.07 ms,0,0
True,8,0.06 ms,0,0
True,6,0.05 ms,0,0
True,10,0.06 ms,0,0
True,9,0.06 ms,0,0
True,10,0.05 ms,0,0
True,11,0.06 ms,0,0
True,11,0.06 ms,0,0
True,9,0.06 ms,0,0
True,9,0.05 ms,0,0
True,9,0.05 ms,0,0
True,10,0.05 ms,0,0
True,12,0.07 ms,0,0
True,12,0.06 ms,0,0
True,13,0.06 ms,0,0
True,6,0.05 ms,0,0
True,11,0.05 ms,0,0
True,6,0.05 ms,0,0
True,10,0.05 ms,0,0
True,5,0.04 ms,0,0
True,7,0.05 ms,0,0
True,12,0.06 ms,0,0
True,10,0.05 ms,0,0
True,9,0.05 ms,0,0
True,9,0.06 ms,0,0
True,10,0.06 ms,0,0
True,9,0.06 ms,0,0
True,6,0.06 ms,0,0
True,9,0.05 ms,0,0
True,8,0.05 ms,0,0
True,5,0.04 ms,0,0
True,6,0.04 ms,0,0
True,12,0.06 ms,0,0
True,10,0.05 ms,0,0
True,9,0.06 ms,0,0
True,8,0.05 ms,0,0
True,11,0.06 ms,0,0
True,13,0.05 ms,0,0
True,8,0.06 ms,0,0
True,10,0.05 ms,0,0
True,7,0.06 ms,0,0
True,8,0.06 ms,0,0
True,11,0.05 ms,0,0
True,9,0.05 ms,0,0
True,6,0.05 ms,0,0
True,9,0.06 ms,0,0
True,7,0.05 ms,0,0
